Tahun;Bulan;tgl;temp7;temp13;temp18;temp_avg;temp_24;temp_max;temp_min;CH;light_hour;light_per;pck;tgl;press;humid7;humid13;humid18;humid_avg;humid_24;ws_abg;mod_dir;max_ws;dir;rainfall_category
2021;2;16.00;27.00.00;33.00.00;30.03.00;29.03.00;28.04.00;33.04.00;24.08.00;-;07.06;95.00.00;TS    ;16;1010.02.00;8.590.249.604.768.770;62.555.244.415.838.900;7.060.383.825.737.720;76.00.00;80.00.00;5.916.666.666.666.660;BL;21.00;310.00.00;
2021;2;17.00;25.05.00;33.06.00;26.04.00;27.08.00;27.08.00;33.08.00;25.02.00;64.08.00;05.07;71.25.00;TS RA Lightning;17;1009.08.00;9.421.666.413.277.110;60.695.224.712.300.800;8.266.594.833.556.780;83.00.00;80.00.00;05.00;B;11.00;300.00.00;
2021;2;18.00;26.00.00;33.05.00;28.07.00;28.06.00;28.09.00;34.05.00;26.00.00;01.04;07.08;97.05.00;  RA  ;18;1010.04.00;8.250.960.343.341.820;5.727.594.635.156.610;7.574.469.711.480.630;75.00.00;76.00.00;6.166.666.666.666.660;BL;18.00;330.00.00;
2021;2;19.00;26.08.00;31.09.00;28.06.00;28.05.00;27.09.00;32.01.00;25.05.00;-;04.04;5.500.000.000.000.000;     ;19;1010.00.00;8.432.426.114.176.710;6.177.264.009.201.240;7.569.392.615.731.560;77.00.00;77.00.00;5.916.666.666.666.660;B;14.00;290.00.00;
2021;2;20.00;26.00.00;31.05.00;25.04.00;27.02.00;26.07.00;32.05.00;25.00.00;-;01.00;12.05;     ;20;1010.06.00;855.862.252.803.843;6.630.946.985.698.380;9.176.423.123.386.560;82.00.00;86.00.00;4.375;B;21.00;260.00.00;
2021;2;21.00;25.06.00;32.05.00;26.06.00;27.06.00;28.00.00;34.00.00;25.04.00;18;07.03;91.25.00;TS RA  ;21;1011.09.00;8.860.521.761.475.260;6.162.230.522.624.100;9.041.467.422.295.300;82.00.00;80.00.00;4.708.333.333.333.330;B;11.00;160.00.00;
2021;2;22.00;25.07.00;31.05.00;28.04.00;27.08.00;28.02.00;32.02.00;25.04.00;10.04;01.05;0,802083333;  RA  ;22;1010.07.00;9.101.860.327.701.100;6.940.288.984.888.300;7.768.986.333.665.210;82.00.00;82.00.00;5.791.666.666.666.660;B;11.00;310.00.00;
2021;2;23.00;26.06.00;31.04.00;27.09.00;28.01.00;27.08.00;32.02.00;25.03.00;-;02.01;26.25.00;     ;23;1007.09.00;8.731.227.976.924.250;5.903.424.781.584.270;8.691.737.750.798.430;80.00.00;83.00.00;7.166.666.666.666.660;B;17.00;70.00.00;
2021;2;24.00.00;26.02.00;29.08.00;28.08.00;27.08.00;27.08.00;30.05.00;24.08.00;38.01.00;02.03;28.749.999.999.999.900;  RA  ;24;1006.00.00;9.032.925.307.559.570;7.293.984.299.242.370;751.067.839.724.899;82.00.00;81.00.00;7.666.666.666.666.660;B;15.00;290.00.00;
2021;2;25.00.00;25.04.00;28.00.00;27.06.00;26.06.00;26.07.00;30.04.00;25.00.00;26.04.00;02.02;27.500.000.000.000.000;  RA  ;25;1007.06.00;9.502.249.789.790.690;876.904.851.741.927;8.459.440.032.172.170;91.00.00;88.00.00;05.05;BL;25.00.00;130.00.00;
